match	file	context
paper	research/continued-hunt/forumer/topic-pages/20080208155031_t187_JKCYYRXBYE5S.html	ic!! No bug - it only works when you get it right! _________________ PROGRESS: Room 44/45 BONUS Room 4/4 (Bonus 3 - was the best!!) (Bonus 4 - ROFL!!) Back to top shpwnz Posted: Tue Aug 07, 2007 2:52 am --> Supreme roomer Joined: 23 May 2007 Posts: 263 Location: Following Stachu In HELL! ok r42 here i come -.- after i've put the cd, the first hint paper i got... does all the things written in it supposed to point out to the same thing. or is each one a riddle on its own? _________________ Progress : (Roomz : 44/44) (Roomz Bonuses : 4/4) (Kish : 4/4) (RG's Puzzles : 1/2) (Eri : 0/2) (cams : 0/2) Back to top RedneckGrl56 Posted: Tue Aug 07, 2007 3:20 am --> Roomz fan Joined: 27 Jun 2007 Posts: 29 Location: Texas Each one is a riddle of its own. Anyone had any luck with the 2nd riddle on the 1st paper? I got the rest of them and this one is driving me nuts. Last edited by RedneckGrl56 on Tue Aug 07, 2007 2:39 pm; edited 1 time in total _________________ (Roomz: 42/45) (Bonus: 4/4) Back to top rawene Posted: Tue Aug 07, 2007 11:52 am --> Roomz
paper	research/continued-hunt/forumer/topic-pages/20080208155031_t187_JKCYYRXBYE5S.html	 a riddle on its own? _________________ Progress : (Roomz : 44/44) (Roomz Bonuses : 4/4) (Kish : 4/4) (RG's Puzzles : 1/2) (Eri : 0/2) (cams : 0/2) Back to top RedneckGrl56 Posted: Tue Aug 07, 2007 3:20 am --> Roomz fan Joined: 27 Jun 2007 Posts: 29 Location: Texas Each one is a riddle of its own. Anyone had any luck with the 2nd riddle on the 1st paper? I got the rest of them and this one is driving me nuts. Last edited by RedneckGrl56 on Tue Aug 07, 2007 2:39 pm; edited 1 time in total _________________ (Roomz: 42/45) (Bonus: 4/4) Back to top rawene Posted: Tue Aug 07, 2007 11:52 am --> Roomz addict Joined: 18 Oct 2006 Posts: 59 Location: New Zealand It looks different from the others Edit: Have 2. Must have put in about 100 others though - all rejected. Last edited by rawene on Wed Aug 08, 2007 7:32 am; edited 1 time in total _________________ PROGRESS: Room 44/45 BONUS Room 4/4 (Bonus 3 - was the best!!) (Bonus 4 - ROFL!!) Back to top shpwnz Posted: Tue Aug 07, 2007 1:11 pm --> Supreme roomer Joined: 23 May 2007 Posts: 263 Location: Fo
cannon	research/continued-hunt/forumer/topic-pages/20080208155141_t215_7KJNMRD4UGDU.html	top Dambo Posted: Sat Nov 10, 2007 12:48 pm --> Little roomer Joined: 31 Oct 2006 Posts: 20 I decoded the fist note. I found what I was supposed to and followed all the hints it gave me! I did litteraly what it told me, but no matter how long I watch the d*** I can not figure it out! Can someone please help me??? EDIT: Ok I managed to activate the cannon, but I am having trouble to destroy the last thingy (bottom right). I have these blocks on the way!!!!! Back to top sas Posted: Sat Nov 10, 2007 2:38 pm --> Appreciated Helper Joined: 30 Oct 2006 Posts: 535 Location: Melbourne, Australia If something is in your way, then try another path _________________ Progress: 45/45 + Bonus 4/4 PM if you need help! (include details of where/what you are stuck on) - I don't give out answers though. Back to top Dambo Posted: Sat Nov 10, 2007 2:46 pm --> Little roomer Joined: 31 Oct 2006 Posts: 20 sas wrote: If something is in your way, then try another path ????? And how am I supposed to do this???? I have tried every possible path... at least I believe 
cannon	research/continued-hunt/forumer/topic-pages/20080208155141_t215_7KJNMRD4UGDU.html	y, and have seen the s***** on the next, but haven't managed to do anything with it. A pointer in the right direction would be gratefully received. ------------------------------ Thank you for the advice - couldn't believe what I'd missed! I am now trying to get the last target - unsuccessfully. ------------------------------- I got them all - the cannon was great fun. But the last (Ihope!) note I have manipulated with no success. -------------------------------- OUT!!! Last edited by geminimum on Fri Nov 23, 2007 10:39 am; edited 2 times in total Back to top metacom Posted: Sat Nov 17, 2007 6:55 pm --> Roomz addict Joined: 26 Oct 2007 Posts: 62 Location: New Jersey I'm at the note that isn't really a note...the one with the s*****. I see a bunch of people asking about it, but still I can not figure it out. Please help me. edit: nevermind...I got it and am out of this room. Thanks heaven_or_hell! _________________ currently working on 44. Back to top paulcito Posted: Thu Nov 29, 2007 4:46 pm --> Junior Helper Joined: 28 Sep 2007 Posts: 155 
cannon	research/continued-hunt/forumer/topic-pages/20080208155141_t215_7KJNMRD4UGDU.html	 but still I can not figure it out. Please help me. edit: nevermind...I got it and am out of this room. Thanks heaven_or_hell! _________________ currently working on 44. Back to top paulcito Posted: Thu Nov 29, 2007 4:46 pm --> Junior Helper Joined: 28 Sep 2007 Posts: 155 Location: Montevideo, Uruguay I'm stuck on the 3rd note... The one after the cannon... I've seen that I need a method that I've used before... But... none works... any help? _________________ One Roomz, to rule them all.... Roomz 44/45 Bonus Roomz 1,2,4 (won't do 3, don't like its kind...) jan's riddles 5/5 RG riddles 1/2 kish rooms 1/3 Back to top metacom Posted: Thu Nov 29, 2007 7:48 pm --> Roomz addict Joined: 26 Oct 2007 Posts: 62 Location: New Jersey It's actually rather annoying...I didn't like that note. Try and focus on the important parts without getting distracted by unnecessary parts...hope that helps. _________________ currently working on 44. Back to top paulcito Posted: Thu Nov 29, 2007 9:26 pm --> Junior Helper Joined: 28 Sep 2007 Posts: 155 Location: Montev
Paper	research/mirror-leads/gamershood/RESULT.md	hit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggestions All times are GMT +1. The time now is 11:42 AM . -- Grey style -- Orange Forest -- Black Smart -- PaperClip -- bo20 -- Kirsch - Fixed -- Default Style -- Coffee style Contact Us - GamersHood - Archive - Privacy Statemen - 20070517030149: ions Who's Online Search Forums Forums Home New users take a look at here! GamersHood Rules Spoiler Testing/Posting Helps FREE ONLINE & OFFLINE GAMES Point and Click Adventure Games Escape The Room Games Riddles Puzzle Games Role-Playing Games Adventure Games Downloadable Games Arcade/Action New Games Walkthroughs Chit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggesti
Paper	research/mirror-leads/gamershood/RESULT.md	hit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggestions All times are GMT +1. The time now is 04:01 AM . -- Grey style -- Orange Forest -- Black Smart -- PaperClip -- bo20 -- Kirsch - Fixed -- Default Style -- Coffee style Contact Us - GamersHood - Archive - Privacy Statemen - 20080519235619: Online Search Forums Forums Home New users take a look at here! GamersHood Rules Spoiler Testing/Posting Helps FREE ONLINE & OFFLINE GAMES New Games Point and Click Adventure Games Escape The Room Games Riddles Puzzle Games Role-Playing Games Adventure Games Downloadable Games Downloadable Demos Arcade/Action Walkthroughs Chit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & 
Paper	research/mirror-leads/gamershood/RESULT.md	eativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggestions Games With Broken Links All times are GMT +1. The time now is 12:56 AM . -- Grey style -- Orange Forest -- Black Smart -- PaperClip -- bo20 -- Kirsch - Fixed -- Default Style -- Coffee style Contact Us - Gamers - 20080519235619: ms Forums Home New users take a look at here! GamersHood Rules Spoiler Testing/Posting Helps FREE ONLINE & OFFLINE GAMES New Games Point and Click Adventure Games Escape The Room Games Riddles Puzzle Games Role-Playing Games Adventure Games Downloadable Games Downloadable Demos Arcade/Action Walkthroughs Chit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggestions Games With Broken Links All times are G
Paper	research/mirror-leads/gamershood/RESULT.md	"eativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggestions Games With Broken Links All times are GMT +1. The time now is 12:56 AM . -- Grey style -- Orange Forest -- Black Smart -- PaperClip -- bo20 -- Kirsch - Fixed -- Default Style -- Coffee style Contact Us - GamersHood - Archive - Pr - 20210127193206: , ""cookie_prefix"": ""gh"", ""cookie_path"": ""/"", ""cookie_domain"": """", ""inlinemod_cookie_name"": ""inlinemod_nodes"", ""pagenum"": ""1"", ""languageid"": ""1"", ""threadmarking"": ""2"", ""lastvisit"": ""1611775925"", ""phrasedate"": ""1605050068"", ""optionsdate"": ""1605050849"", ""current_server_datetime"": ""1611775925"", ""simpleversion"": ""v=564"", ""showhv_post"": ""1"", ""nextcron"": ""1611774600"", ""securitytoken"": ""guest"", ""privacystatus"": ""0"", ""flash_message"": """", ""registerurl"": ""https://forums.gamershood.com/register"", ""activationurl"": ""https://forums.gamershood.com/activateuser"", ""helpurl"": ""https://forums"
Paper	research/mirror-leads/gamershood/wayback-high-value-context.tsv	hit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress QUESTIONS & FEEDBACK Problems Feedback & Suggestions All times are GMT +1. The time now is 11:42 AM . -- Grey style -- Orange Forest -- Black Smart -- PaperClip -- bo20 -- Kirsch - Fixed -- Default Style -- Coffee style Contact Us - GamersHood - Archive - Privacy Statemen 20070517030149 http://gamershood.com:80/forum/showthread.php?t=2818 ions Who's Online Search Forums Forums Home New users take a look at here! GamersHood Rules Spoiler Testing/Posting Helps FREE ONLINE & OFFLINE GAMES Point and Click Adventure Games Escape The Room Games Riddles Puzzle Games Role-Playing Games Adventure Games Downloadable Games Arcade/Action New Games Walkthroughs Chit Chat General chat Creativity Forum Games GamersHood Planet News Movies Music Sports Books DEVELOPMENT Game development in general Artwork and sounds in games Flash Help Cartoons Game in Progress
